,Subject,Hold .,Hold t,Hold i,Hold e,Hold Shift,Hold 5,Hold Shift.1,Hold Caps,Hold r,Hold o,Hold a,Hold n,Hold l,Hold Enter,DD ..t,DD t.i,DD i.e,DD e.Shift,DD Shift.5,DD 5.Shift,DD Shift.Caps,DD Caps.r,DD r.o,DD o.a,DD a.n,DD n.l,DD l.Enter,UD ..t,UD t.i,UD i.e,UD e.Shift,UD Shift.5,UD 5.Shift,UD Shift.Caps,UD Caps.r,UD r.o,UD o.a,UD a.n,UD n.l,UD l.Enter,Pressure .,Pressure t,Pressure i,Pressure e,Pressure Shift,Pressure 5,Pressure Shift.1,Pressure Caps,Pressure r,Pressure o,Pressure a,Pressure n,Pressure l,Pressure Enter,Size .,Size t,Size i,Size e,Size Shift,Size 5,Size Shift.1,Size Caps,Size r,Size o,Size a,Size n,Size l,Size Enter,AvH,AvP,AvA
0,1.0,106.0,92.0,111.0,85.0,123.0,82.0,70.0,101.0,84.0,106.25,110.0,91.0,94.0,70.0,383.0,544.25,593.0,837.0,586.0,444.0,600.0,431.0,618.0,559.0,496.0,313.0,474.0,294.0,465.25,529.0,752.0,463.0,362.0,530.0,330.0,534.0,481.0,386.0,222.0,380.0,0.230400010943412,0.263999998569488,0.268800020217895,0.134400010108947,0.172800004482269,0.15360001102089843,0.393600016832351,0.110400006175041,0.115200005471706,0.158400014042854,0.129600003361701,0.105600006878376,0.139200001955032,0.134400010108947,0.38709676265716497,0.290322571992874,0.225806444883346,0.290322571992874,0.354838699102401,0.25806450843811,0.322580635547637,0.225806444883346,0.225806444883346,0.322580635547637,0.290322571992874,0.225806444883346,0.354838699102401,0.2741935402154924,103.0357142857143,0.19097143837383762,0.2880184245961049
1,1.0,106.0,88.0,111.0,83.0,123.0,101.0,81.0,94.0,88.0,106.25,91.0,109.0,91.25,70.0,418.0,449.0,431.0,794.0,527.0,479.0,820.0,435.0,773.0,545.0,641.25,349.0,502.0,328.0,361.0,332.0,711.0,404.0,378.0,739.0,341.0,685.0,463.0,537.5,240.0,412.0,0.134400010108947,0.129600003361701,0.139200001955032,0.124800004065036,0.129600003361701,0.15360001102089843,0.393600016832351,0.115200005471706,0.129600003361701,0.153600007295608,0.393600016832351,0.1488000005483625,0.158400014042854,0.144000008702278,0.290322571992874,0.25806450843811,0.225806444883346,0.225806444883346,0.225806444883346,0.225806444883346,0.322580635547637,0.225806444883346,0.225806444883346,0.322580635547637,0.322580635547637,0.25806450843811,0.38709676265716497,0.322580635547637,103.0357142857143,0.18651429350886967,0.28513823768922214
2,1.0,106.0,90.0,111.0,65.0,79.0,73.0,96.0,63.25,74.25,109.0,116.0,105.0,91.25,68.0,450.0,464.0,458.0,468.0,499.0,395.0,436.0,495.0,881.0,522.0,641.25,309.0,542.0,363.0,374.0,375.0,403.0,420.0,322.0,340.0,433.0,817.0,413.0,537.5,204.0,469.0,0.187200009822845,0.297600001096725,0.331200003623962,0.124800004065036,0.124800004065036,0.115200005471706,0.139200001955032,0.2892000172287218,0.105600006878376,0.163200005888938,0.163200005888938,0.1488000005483625,0.120000004768371,0.129600003361701,0.38709676265716497,0.322580635547637,0.290322571992874,0.25806450843811,0.25806450843811,0.290322571992874,0.25806450843811,0.225806444883346,0.193548381328582,0.290322571992874,0.322580635547637,0.225806444883346,0.25806450843811,0.2741935402154924,103.0357142857143,0.18617143375532907,0.28513823768922214
3,1.0,106.0,81.0,111.0,72.0,83.0,94.0,89.0,104.0,74.25,106.25,79.0,92.0,91.25,78.0,535.0,434.0,475.0,513.0,484.0,507.5,576.0,449.0,713.0,717.0,481.0,318.0,493.0,464.0,353.0,413.0,441.0,401.0,456.5,487.0,345.0,640.0,619.0,402.0,226.0,410.0,0.110400006175041,0.129600003361701,0.278400003910064,0.124800004065036,0.115200005471706,0.0912000015377998,0.46560001373291,0.10080000758171,0.1488000005483625,0.129600003361701,0.129600003361701,0.120000004768371,0.139200001955032,0.312000006437301,0.225806444883346,0.322580635547637,0.290322571992874,0.290322571992874,0.225806444883346,0.225806444883346,0.451612889766693,0.225806444883346,0.225806444883346,0.25806450843811,0.290322571992874,0.225806444883346,0.322580635547637,0.322580635547637,103.0357142857143,0.17794286300029014,0.28513823768922214
4,1.0,106.0,72.0,111.0,82.0,62.0,89.0,68.0,88.0,74.25,106.25,81.0,92.0,91.25,68.0,428.0,363.0,530.0,419.0,547.0,507.5,458.0,433.0,1125.25,537.0,523.0,344.0,704.25,339.0,291.0,448.0,337.0,485.0,456.5,390.0,345.0,1064.25,472.0,442.0,252.0,578.75,0.120000004768371,0.283200025558471,0.144000008702278,0.148800000548362,0.139200001955032,0.115200005471706,0.148800000548362,0.120000004768371,0.124800004065036,0.144000008702278,0.110400006175041,0.1488000005483625,0.120000004768371,0.307200014591217,0.25806450843811,0.290322571992874,0.290322571992874,0.322580635547637,0.290322571992874,0.25806450843811,0.25806450843811,0.290322571992874,0.225806444883346,0.322580635547637,0.25806450843811,0.225806444883346,0.290322571992874,0.38709676265716497,103.0357142857143,0.16397143408123882,0.28513823768922214
5,1.0,106.0,81.0,111.0,65.0,124.0,88.0,61.0,113.0,74.25,106.25,85.0,94.0,104.0,74.0,490.0,431.0,525.0,594.0,539.0,442.0,1028.5,477.0,844.0,476.0,520.0,345.0,485.0,408.0,350.0,434.0,529.0,409.0,354.0,945.0,364.0,772.0,403.0,435.0,251.0,381.0,0.0288000013679265,0.124800004065036,0.172800004482269,0.153600007295608,0.129600003361701,0.0864000022411346,0.163200005888938,0.105600006878376,0.110400006175041,0.216000005602836,0.29280000925064,0.120000004768371,0.336000025272369,0.129600003361701,0.193548381328582,0.322580635547637,0.354838699102401,0.322580635547637,0.290322571992874,0.225806444883346,0.354838699102401,0.25806450843811,0.225806444883346,0.38709676265716497,0.25806450843811,0.25806450843811,0.322580635547637,0.2741935402154924,103.0357142857143,0.16397143408123882,0.28513823768922214
6,1.0,106.0,72.0,111.0,56.25,110.0,119.0,88.0,63.25,74.25,106.25,75.0,109.0,91.25,64.0,405.0,544.25,648.0,354.0,500.0,507.5,693.0,509.0,1049.0,457.0,533.0,352.0,425.0,305.0,465.25,532.25,301.0,390.0,456.5,605.0,451.0,985.0,394.0,458.0,243.0,352.0,0.134400010108947,0.249600008130073,0.124800004065036,0.259200006723403,0.105600006878376,0.115200005471706,0.542400002479553,0.240000009536743,0.115200005471706,0.120000004768371,0.096000000834465,0.120000004768371,0.263999998569488,0.148800000548362,0.290322571992874,0.22580644488334503,0.25806450843811,0.483870953321456,0.225806444883346,0.25806450843811,0.483870953321456,0.290322571992874,0.25806450843811,0.322580635547637,0.225806444883346,0.25806450843811,0.354838699102401,0.322580635547637,103.0357142857143,0.18822857631104287,0.3018433089767178
7,1.0,133.0,118.0,145.0,118.0,88.0,102.0,89.0,105.0,103.0,129.0,126.0,149.0,111.0,108.0,792.25,499.0,376.0,532.0,728.0,507.5,498.0,386.0,743.0,341.0,495.0,412.0,573.0,663.0,381.0,231.0,414.0,640.0,456.5,409.0,281.0,640.0,212.0,369.0,263.0,462.0,0.379200011491775,0.518400013446807,1.0032000541687,0.974400043487548,0.196800008416175,0.096000000834465,0.216000005602836,0.105600006878376,0.096000000834465,0.220800012350082,0.129600003361701,0.124800004065036,0.163200005888938,0.302400022745132,0.25806450843811,0.25806450843811,0.51612901687622,0.419354826211929,0.419354826211929,0.25806450843811,0.38709676265716497,0.290322571992874,0.193548381328582,0.419354826211929,0.25806450843811,0.25806450843811,0.290322571992874,0.451612889766693,116.0,0.32331429954085983,0.33410137253148176
8,1.0,136.0,104.0,147.0,92.0,79.0,121.75,88.0,69.0,120.0,146.0,126.0,139.0,129.0,120.0,418.0,395.0,556.0,611.0,501.0,476.0,458.0,392.0,888.0,326.0,387.0,379.0,642.0,282.0,291.0,409.0,519.0,422.0,347.0,370.0,323.0,768.0,180.0,261.0,240.0,513.0,0.124800004065036,0.715200006961822,0.940800070762634,0.988800048828125,0.158400014042854,0.0912000015377998,0.796800017356872,0.096000000834465,0.0912000015377998,0.196800008416175,0.201600015163421,0.10080000758171,0.153600007295608,0.302400022745132,0.290322571992874,0.322580635547637,0.419354826211929,0.483870953321456,0.354838699102401,0.225806444883346,0.51612901687622,0.322580635547637,0.322580635547637,0.419354826211929,0.354838699102401,0.225806444883346,0.290322571992874,0.51612901687622,116.0,0.3541714447949609,0.36175114129270763
9,1.0,150.0,139.0,135.0,106.0,79.0,100.0,97.0,95.0,97.0,139.0,101.0,157.0,110.0,129.0,565.0,539.0,480.0,348.0,486.0,418.0,451.0,577.0,585.0,284.0,318.0,449.75,536.0,415.0,400.0,345.0,242.0,407.0,318.0,354.0,470.75,488.0,145.0,217.0,340.75,426.0,0.38400000333786,0.144000008702278,1.0032000541687,0.590400040149688,0.158400014042854,0.0912000015377998,0.206400007009506,0.115200005471706,0.115200005471706,0.259200006723403,0.120000004768371,0.115200005471706,0.216000005602836,0.955200016498565,0.322580635547637,0.25806450843811,0.677419304847717,0.354838699102401,0.322580635547637,0.290322571992874,0.38709676265716497,0.322580635547637,0.25806450843811,0.419354826211929,0.290322571992874,0.25806450843811,0.419354826211929,0.612903237342834,116.71428571428571,0.3195428699254985,0.37096773087978313
